disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5122,,,,,1102989.32,54779.68,,2020-07-21T00:00:00.000Z,,0,761a6775b502ae7a8ffe9ad05ab42bb0,2020-07-21T11:55:32.430Z,5aa2d588cb4f0f7020b188a9
5147,,,,,4440160.16,1639014.1,,2020-07-21T00:00:00.000Z,,0,75f4f40c597fc8a8b8e1a0214980fa8f,2020-07-21T11:55:32.461Z,5aa2d588cb4f0f7020b188ae
5172,,,,,142453.23,52194.42,,2020-07-21T00:00:00.000Z,,0,a7a021350a80dad57bc6ea3d89aa6442,2020-07-21T11:55:32.499Z,5aa2d588cb4f0f7020b188b3
5197,,,,,,,,,,0,f04980e97f879ec1be7a381d6c089773,2020-06-02T13:22:22.512Z,5aa2d588cb4f0f7020b188b8
5222,,,,,,,,,,0,9ee5f7900fb5088c4ed0ff68897d2dc9,2020-06-02T13:22:22.574Z,5aa2d588cb4f0f7020b188bd
5050,,,,,4558436.47,95579.78,,2020-07-21T00:00:00.000Z,,0,ac116bbc2a1b891a54bcc886d4b2cd29,2020-07-21T11:55:32.307Z,5aa2d588cb4f0f7020b188c2
5075,,,,,2566096.58,21351.24,,2020-07-21T00:00:00.000Z,,0,dc5418c86a754fd80be14dac30364d4e,2020-07-21T11:55:32.326Z,5aa2d588cb4f0f7020b188c7
5100,,,,,20804.69,17698.17,,2020-07-21T00:00:00.000Z,,263072,0382f1ebde4cdc109edbf011ea7286ed,2020-07-21T11:55:32.383Z,5aa2d588cb4f0f7020b188cc
5125,,,,,2004706.26,37349.85,,2020-07-21T00:00:00.000Z,,0,59b0cc10a87df56abff2a711f1df4461,2020-07-21T11:55:32.432Z,5aa2d588cb4f0f7020b188d1
5043,,,,,174850.88,23842.91,,2020-07-21T00:00:00.000Z,,0,60f5ac79de2d91c0bd722e346b630951,2020-07-21T11:55:32.289Z,5aa2d588cb4f0f7020b188d6
5068,,,,,1134200.15,22006.12,,2020-07-21T00:00:00.000Z,,0,5aa2a557ded53d66aabdac74c4bffd8f,2020-07-21T11:55:32.321Z,5aa2d588cb4f0f7020b188db
5093,,,,,30805790,294372.82,,2020-07-21T00:00:00.000Z,,462341.66,8cbd9efa53c461995b3f337b6d75d542,2020-07-21T11:55:32.376Z,5aa2d588cb4f0f7020b188e0
5118,,,,,,,,,,0,b54dce4bb3ce374555aaa326c251087e,2020-06-02T13:22:22.388Z,5aa2d588cb4f0f7020b188e5
5139,,,,,1815431.3,9710.71,,2020-07-21T00:00:00.000Z,,0,ec3c89d29b233130cac51830a2aeccee,2020-07-21T11:55:32.454Z,5aa2d588cb4f0f7020b188ea
5164,,,,,2388962.05,48236.88,,2020-07-21T00:00:00.000Z,,0,fd18bc627913ee2d3cb9a310bb3596d9,2020-07-21T11:55:32.474Z,5aa2d588cb4f0f7020b188ef
5156,,,,,5145844.24,,,2020-07-21T00:00:00.000Z,,0,ac3446467ad23424ef644f8ff11ea1a7,2020-07-21T11:55:32.468Z,5aa2d588cb4f0f7020b188f4
5140,,,,,8975198.42,128599.06,,2020-07-21T00:00:00.000Z,,0,d43f3f956d387de0d6dbb890f4524838,2020-07-21T11:55:32.455Z,5aa2d588cb4f0f7020b188f6
5145,,,,,13654350.61,184089.91,,2020-07-21T00:00:00.000Z,,0,724cacb6cd07e1aad48732cc2983ffab,2020-07-21T11:55:32.459Z,5aa2d588cb4f0f7020b188f7
5143,,,,,637395.06,29930.03,,2020-07-21T00:00:00.000Z,,0,8657597c2889aaa0f22d5777271c944b,2020-07-21T11:55:32.457Z,5aa2d588cb4f0f7020b188fb
5148,,,,,5419.49,619.23,,2020-07-21T00:00:00.000Z,,0,877178eb8b3fdb591e0c12688b250ecc,2020-07-21T11:55:32.462Z,5aa2d588cb4f0f7020b188fc
5168,,,,,19907.44,2071.58,,2020-07-21T00:00:00.000Z,,2674731.29,26c434524cc6f6d0abff343c4205285e,2020-07-21T11:55:32.500Z,5aa2d588cb4f0f7020b18900
5173,,,,,75847.49,41785.39,,2020-07-21T00:00:00.000Z,,0,c3058ac56142c7eeb8738b27970d4534,2020-07-21T11:55:32.503Z,5aa2d588cb4f0f7020b18901
